iter	Passed	Remaining
247	505	1534
248	507	1531
249	509	1527
250	510	1524
251	512	1521
252	514	1518
253	516	1516
254	518	1513
255	519	1510
256	521	1507
257	522	1504
258	524	1501
259	526	1498
260	528	1495
261	529	1492
262	531	1489
263	533	1487
264	535	1484
265	536	1481
266	538	1477
267	539	1474
268	541	1471
269	543	1468
270	544	1465
271	546	1462
272	548	1459
273	549	1456
274	551	1454
275	553	1451
276	555	1448
277	557	1446
278	558	1444
279	560	1441
280	562	1439
281	564	1437
282	566	1434
283	568	1432
284	570	1431
285	572	1428
286	573	1425
287	576	1424
288	578	1422
289	580	1420
290	581	1417
291	584	1416
292	586	1414
293	588	1412
294	590	1410
295	592	1408
296	594	1406
297	595	1403
298	597	1401
299	599	1398
300	601	1397
301	603	1394
302	605	1392
303	607	1390
304	608	1387
305	610	1384
306	612	1383
307	614	1380
308	616	1378
309	618	1375
310	619	1373
311	621	1370
312	623	1368
313	625	1365
314	627	1363
315	629	1361
316	631	1360
317	633	1359
318	636	1357
319	638	1355
320	640	1354
321	641	1351
322	644	1350
323	646	1349
324	649	1347
325	650	1345
326	652	1343
327	654	1340
328	656	1338
329	658	1336
330	659	1333
331	661	1331
332	663	1328
333	665	1326
334	667	1324
335	668	1322
336	671	1320
337	672	1317
338	674	1315
339	676	1312
340	677	1310
341	679	1307
342	681	1305
343	683	1303
344	685	1301
345	687	1300
346	689	1298
347	691	1296
348	694	1294
349	696	1293
350	698	1291
351	700	1288
352	701	1286
353	703	1283
354	706	1283
355	708	1281
356	710	1280
357	713	1278
358	715	1277
359	717	1275
360	719	1272
361	721	1271
362	723	1270
363	725	1268
364	727	1266
365	729	1263
366	731	1262
367	733	1259
368	735	1257
369	737	1255
370	739	1254
371	741	1251
372	743	1249
373	744	1246
374	747	1245
375	749	1243
376	750	1240
377	753	1239
378	755	1237
379	757	1236
380	759	1234
381	761	1231
382	763	1230
383	765	1228
384	768	1227
385	770	1225
386	772	1223
387	774	1221
388	776	1219
389	778	1217
390	780	1215
391	782	1213
392	784	1211
393	786	1209
394	789	1208
395	791	1206
396	792	1204
397	794	1202
398	797	1200
399	799	1198
400	801	1196
401	803	1195
402	805	1193
403	807	1191
404	809	1189
405	812	1188
406	814	1186
407	816	1184
408	818	1182
409	820	1180
410	822	1178
411	824	1176
412	825	1173
413	828	1172
414	829	1169
415	832	1168
416	834	1166
417	835	1163
418	837	1161
419	839	1159
420	841	1157
421	843	1154
422	844	1152
423	846	1150
424	849	1149
425	851	1146
426	852	1144
427	854	1142
428	856	1140
429	858	1138
430	860	1135
431	862	1134
432	864	1131
433	866	1129
434	867	1126
435	869	1124
436	871	1122
437	873	1120
438	874	1117
439	876	1115
440	878	1113
441	880	1111
442	881	1108
443	883	1106
444	885	1103
445	887	1101
446	888	1099
447	890	1097
448	892	1094
449	893	1092
450	895	1090
451	897	1087
452	898	1085
453	900	1083
454	902	1080
455	903	1078
456	905	1075
457	907	1073
458	909	1071
459	911	1069
460	912	1067
461	914	1065
462	916	1062
463	917	1060
464	919	1058
465	921	1056
466	923	1054
467	925	1052
468	927	1049
469	929	1047
470	931	1045
471	932	1043
472	934	1041
473	936	1039
474	938	1037
475	940	1034
476	941	1032
477	943	1030
478	946	1029
479	947	1026
480	949	1024
481	951	1022
482	953	1020
483	955	1018
484	956	1016
485	958	1013
486	960	1012
487	962	1010
488	964	1007
489	966	1005
490	967	1003
491	969	1001
492	971	999
493	973	996
494	974	994
495	977	992
496	978	990
497	980	988
498	982	986
499	983	983
500	985	981
501	987	979
502	989	977
503	991	975
504	992	973
505	994	971
506	996	969
507	998	966
508	1000	964
509	1002	962
510	1003	960
511	1005	958
512	1007	956
513	1008	953
514	1010	951
515	1012	949
516	1014	947
517	1015	945
518	1018	943
519	1019	941
520	1021	939
521	1023	937
522	1025	934
523	1027	933
524	1028	930
525	1030	928
526	1032	926
527	1034	925
528	1036	923
529	1039	921
530	1041	919
531	1043	918
532	1046	916
533	1048	914
534	1050	912
535	1052	910
536	1053	908
537	1055	906
538	1057	904
539	1059	902
540	1061	900
541	1062	898
542	1064	896
543	1066	894
544	1069	892
545	1070	890
546	1072	888
547	1074	886
548	1076	884
549	1078	882
550	1080	880
551	1081	877
552	1083	876
553	1085	873
554	1087	871
555	1089	869
556	1090	867
557	1092	865
558	1094	863
559	1096	861
560	1098	859
561	1100	857
562	1102	855
563	1104	853
564	1106	851
565	1108	850
566	1111	848
567	1112	846
568	1114	844
569	1116	842
570	1118	840
571	1120	838
572	1122	836
573	1125	834
574	1126	832
575	1128	830
576	1130	828
577	1132	826
578	1134	824
579	1135	822
580	1137	820
581	1139	818
582	1141	816
583	1143	814
584	1144	812
585	1146	809
586	1148	807
587	1150	805
588	1151	803
589	1153	801
590	1155	799
591	1157	797
592	1159	795
593	1161	793
594	1162	791
595	1164	789
596	1166	787
597	1168	785
598	1170	783
599	1172	781
600	1174	779
601	1175	777
602	1177	775
603	1179	773
604	1181	771
605	1183	769
606	1184	767
607	1186	764
608	1188	762
609	1190	760
610	1191	758
611	1193	756
612	1196	755
613	1198	753
614	1200	751
615	1213	756
616	1217	756
617	1222	755
618	1227	755
619	1229	753
620	1236	754
621	1242	755
622	1247	754
623	1252	754
624	1256	753
625	1264	755
626	1271	756
627	1276	756
628	1278	754
629	1281	752
630	1282	750
631	1284	748
632	1287	746
633	1289	744
634	1292	742
635	1295	741
636	1299	740
637	1302	738
638	1305	737
639	1307	735
640	1308	733
641	1310	730
642	1312	728
643	1314	726
644	1316	724
645	1317	722
646	1319	720
647	1321	717
648	1323	715
649	1324	713
650	1326	711
651	1328	708
652	1330	706
653	1331	704
654	1333	702
655	1334	700
656	1336	697
657	1338	695
658	1340	693
659	1341	691
660	1343	688
661	1345	686
662	1346	684
663	1348	682
664	1350	680
665	1351	677
666	1353	675
667	1355	673
668	1356	671
669	1358	669
670	1360	666
671	1361	664
672	1363	662
673	1365	660
674	1366	658
675	1368	655
676	1370	653
677	1371	651
678	1373	649
679	1375	647
680	1376	644
681	1378	642
682	1379	640
683	1381	638
684	1383	636
685	1384	633
686	1386	631
687	1388	629
688	1389	627
689	1391	625
690	1393	622
691	1394	620
692	1396	618
693	1398	616
694	1399	614
695	1401	612
696	1403	610
697	1404	607
698	1406	605
699	1408	603
700	1409	601
701	1411	599
702	1413	597
703	1414	594
704	1416	592
705	1418	590
706	1420	588
707	1421	586
708	1423	584
709	1425	582
710	1426	579
711	1428	577
712	1430	575
713	1431	573
714	1433	571
715	1435	569
716	1437	567
717	1438	565
718	1440	562
719	1442	560
720	1444	558
721	1445	556
722	1447	554
723	1449	552
724	1450	550
725	1452	548
726	1453	545
727	1455	543
728	1457	541
729	1459	539
730	1460	537
731	1462	535
732	1464	533
733	1465	531
734	1467	529
735	1469	527
736	1471	524
737	1472	522
738	1474	520
739	1476	518
740	1477	516
741	1479	514
742	1481	512
743	1482	510
744	1484	508
745	1486	506
746	1487	503
747	1489	501
748	1491	499
749	1493	497
750	1494	495
751	1496	493
752	1498	491
753	1499	489
754	1501	487
755	1503	485
756	1505	483
757	1506	481
758	1508	478
759	1510	476
760	1511	474
761	1513	472
762	1515	470
763	1517	468
764	1519	466
765	1521	464
766	1522	462
767	1524	460
768	1526	458
769	1528	456
770	1529	454
771	1531	452
772	1534	450
773	1535	448
774	1537	446
775	1539	444
776	1540	442
777	1542	440
778	1544	438
779	1546	436
780	1548	434
781	1550	432
782	1552	430
783	1553	428
784	1555	426
785	1557	424
786	1559	422
787	1561	420
788	1563	418
789	1564	415
790	1566	413
791	1568	411
792	1570	409
793	1572	407
794	1574	406
795	1576	403
796	1578	401
797	1579	399
798	1581	397
799	1583	395
800	1585	393
801	1586	391
802	1588	389
803	1590	387
804	1592	385
805	1593	383
806	1595	381
807	1597	379
808	1599	377
809	1601	375
810	1603	373
811	1604	371
812	1606	369
813	1608	367
814	1610	365
815	1611	363
816	1613	361
817	1615	359
818	1617	357
819	1619	355
820	1620	353
821	1622	351
822	1624	349
823	1626	347
824	1628	345
825	1629	343
826	1631	341
827	1633	339
828	1635	337
829	1637	335
830	1639	333
831	1641	331
832	1642	329
833	1644	327
834	1646	325
835	1648	323
836	1650	321
837	1651	319
838	1653	317
839	1655	315
840	1657	313
841	1659	311
842	1660	309
843	1662	307
844	1664	305
845	1666	303
846	1667	301
847	1669	299
848	1671	297
849	1673	295
850	1674	293
851	1676	291
852	1678	289
853	1680	287
854	1682	285
855	1684	283
856	1685	281
857	1687	279
858	1689	277
859	1691	275
860	1692	273
861	1694	271
862	1695	269
863	1698	267
864	1700	265
865	1701	263
866	1703	261
867	1705	259
868	1707	257
869	1709	255
870	1710	253
871	1712	251
872	1715	249
873	1717	247
874	1718	245
875	1720	243
876	1722	241
877	1724	239
878	1725	237
879	1727	235
880	1729	233
881	1731	231
882	1733	229
883	1734	227
884	1736	225
885	1737	223
886	1739	221
887	1741	219
888	1743	217
889	1744	215
890	1747	213
891	1749	211
892	1751	209
893	1752	207
894	1754	205
895	1756	203
896	1758	201
897	1760	199
898	1761	197
899	1763	195
900	1765	193
901	1767	192
902	1768	190
903	1770	188
904	1772	186
905	1774	184
906	1776	182
907	1777	180
908	1779	178
909	1781	176
910	1783	174
911	1785	172
912	1786	170
913	1788	168
914	1790	166
915	1791	164
916	1793	162
917	1795	160
918	1797	158
919	1798	156
920	1800	154
921	1802	152
922	1804	150
923	1806	148
924	1807	146
925	1809	144
926	1811	142
927	1813	140
928	1814	138
929	1816	136
930	1818	134
931	1820	132
932	1822	130
933	1823	128
934	1825	126
935	1827	124
936	1828	122
937	1830	121
938	1832	119
939	1834	117
940	1835	115
941	1837	113
942	1839	111
943	1841	109
944	1842	107
945	1844	105
946	1846	103
947	1847	101
948	1849	99
949	1851	97
950	1853	95
951	1854	93
952	1856	91
953	1858	89
954	1860	87
955	1862	85
956	1864	83
957	1865	81
958	1867	79
959	1869	77
960	1871	75
961	1873	73
962	1874	72
963	1876	70
964	1878	68
965	1880	66
966	1881	64
967	1883	62
968	1885	60
969	1887	58
970	1888	56
971	1890	54
972	1892	52
973	1893	50
974	1895	48
975	1897	46
976	1899	44
977	1900	42
978	1902	40
979	1904	38
980	1906	36
981	1908	34
982	1909	33
983	1912	31
984	1913	29
985	1915	27
986	1917	25
987	1918	23
988	1920	21
989	1922	19
990	1924	17
991	1925	15
992	1928	13
993	1930	11
994	1931	9
995	1933	7
996	1935	5
997	1937	3
998	1939	1
999	1941	0
