iter	Logloss
0	0.6777023764
1	0.6620014059
2	0.6479306215
3	0.634702089
4	0.6220603749
5	0.6107240942
6	0.5996031277
7	0.5874402368
8	0.576789833
9	0.5671970066
10	0.557703308
11	0.5484565665
12	0.5394443305
13	0.5313706525
14	0.5242486083
15	0.5174023885
16	0.5116730114
17	0.5064447757
18	0.5010096618
19	0.4955378598
20	0.4907146472
21	0.4862993816
22	0.4821231177
23	0.4780528774
24	0.4733872485
25	0.4698981703
26	0.465666971
27	0.4617766228
28	0.4587191227
29	0.4551218828
30	0.4520974018
31	0.4497577056
32	0.4471734711
33	0.4446449599
34	0.4420085208
35	0.4391728055
36	0.4369582655
37	0.4350012695
38	0.4330493097
39	0.4301045401
40	0.4277049938
41	0.4251899463
42	0.4230689296
43	0.4210201597
44	0.4193690558
45	0.4177752687
46	0.4163512354
47	0.4146128823
48	0.4130557208
49	0.4117403261
50	0.4098588649
51	0.40874582
52	0.4071409535
53	0.4053980921
54	0.4042388609
55	0.4031821212
56	0.4020692915
57	0.4009590008
58	0.3996248638
59	0.3984810385
60	0.397505523
61	0.3960897913
62	0.3951960674
63	0.3941500659
64	0.3931653463
65	0.3923619604
66	0.3915213081
67	0.3908636203
68	0.3895646321
69	0.3889787538
70	0.3883226144
71	0.387668578
72	0.3870462566
73	0.3864802756
74	0.3857451705
75	0.3850369182
76	0.38449473
77	0.3838910314
78	0.383295841
79	0.3826096363
80	0.3819669458
81	0.3810944393
82	0.3805890594
83	0.3799898952
84	0.3792250041
85	0.3789013428
86	0.3784076704
87	0.3777907881
88	0.3769049417
89	0.3763711374
90	0.3758402913
91	0.3753640088
92	0.3749804148
93	0.3745501984
94	0.3740465158
95	0.373161298
96	0.3728088777
97	0.3724082249
98	0.372102929
99	0.3716444514
100	0.3712349814
101	0.3708133786
102	0.3704823647
103	0.3702202279
104	0.3697397115
105	0.3692042298
106	0.3687101962
107	0.3684488688
108	0.3680733353
109	0.3677185571
110	0.3673419425
111	0.3669765713
112	0.3664479959
113	0.3660142123
114	0.3656918313
115	0.365331334
116	0.3648928328
117	0.364580111
118	0.3641287243
119	0.3637526227
120	0.3633217189
121	0.3629685152
122	0.3627007701
123	0.3623591571
124	0.3622048165
125	0.3618903521
126	0.3616103473
127	0.3613684038
128	0.3610727933
129	0.3607744184
130	0.3604993843
131	0.3602743941
132	0.3599115499
133	0.3596636599
134	0.3593253584
135	0.358935879
136	0.3586922496
137	0.3582660516
138	0.3579903936
139	0.3576498429
140	0.3573686287
141	0.3570762802
142	0.3567211753
143	0.3566631169
144	0.3563558042
145	0.3560676422
146	0.3558103336
147	0.3554781618
148	0.3550788343
149	0.3548303394
150	0.3544616521
151	0.3542208665
152	0.3540100558
153	0.3537641227
154	0.3534564411
155	0.3531388631
156	0.3529203921
157	0.3526838102
158	0.3524819624
159	0.3523009825
160	0.3520055697
161	0.3517644747
162	0.3514744114
163	0.3512011815
164	0.3510499169
165	0.3507936907
166	0.3505373821
167	0.3504072266
168	0.3501006742
169	0.3497880599
170	0.34951726
171	0.3493418332
172	0.349161311
173	0.3489805033
174	0.34869549
175	0.3484784335
176	0.348307014
177	0.348188086
178	0.3479972045
179	0.3478874735
180	0.3477303726
181	0.3474908848
182	0.3473064249
183	0.3471001431
184	0.3468384941
185	0.34664389
186	0.3464587325
187	0.3462161421
188	0.3460189473
189	0.3457168699
190	0.3455726206
191	0.3454005938
192	0.3449122319
193	0.3447722661
194	0.3446358653
195	0.3444391842
196	0.3442264688
197	0.3439951174
198	0.3437278267
199	0.3434701765
200	0.3432861769
201	0.3431162789
202	0.3428662686
203	0.3426939495
204	0.3425929388
205	0.342376667
206	0.3421688137
207	0.3420321635
208	0.3418904158
209	0.341741188
210	0.341486091
211	0.3413370382
212	0.3412079807
213	0.3410292643
214	0.3407871091
215	0.3406120982
216	0.3404612094
217	0.3402844644
218	0.3401715058
219	0.3399234137
220	0.3397895711
221	0.3396000871
222	0.3393601878
223	0.3391405154
224	0.3390068676
225	0.3388501276
226	0.3386608181
227	0.3384974863
228	0.3383451033
229	0.3381329061
230	0.3379962428
231	0.3378107748
232	0.3376969263
233	0.3374901868
234	0.3373170862
235	0.3371668521
236	0.3370572414
237	0.3369350663
238	0.3367383109
239	0.3365598387
240	0.3364345686
241	0.3360035821
242	0.3359168162
243	0.3356965717
244	0.3355253454
245	0.3353946601
246	0.3352341552
247	0.3350439543
248	0.3348555725
249	0.3347496824
250	0.3345987527
251	0.3344684375
252	0.3342523088
253	0.3340908951
254	0.3339851268
255	0.3338909103
256	0.3337430461
257	0.3336277586
258	0.3335317333
259	0.3333660639
260	0.3332724174
261	0.3331485444
262	0.3328761198
263	0.3327475803
264	0.3325190806
265	0.3323258005
266	0.3323019796
267	0.3321288704
268	0.3319881984
269	0.3318621967
270	0.3317141099
271	0.3316091103
272	0.3314198557
273	0.3312436137
274	0.3310916598
275	0.3308660372
276	0.3306134961
277	0.3304223993
278	0.3302861051
279	0.3301511757
280	0.3299635018
281	0.3297516922
282	0.3296244831
283	0.3294125227
284	0.3293091855
285	0.3291591206
286	0.3289941001
287	0.3288107048
288	0.3286881335
289	0.3285557963
290	0.3284530754
291	0.3282760888
292	0.3281299735
293	0.3280293761
294	0.3279333741
295	0.3278258641
296	0.3277297105
297	0.3275739777
298	0.3274055774
299	0.3272302024
300	0.3270577667
301	0.3269104267
302	0.3268080738
303	0.3266860697
304	0.3264503638
305	0.3262844657
306	0.3260910613
307	0.3259243202
308	0.3257987188
309	0.3256305777
310	0.3255432816
311	0.3253139193
312	0.3252356497
313	0.3250212891
314	0.3248729976
315	0.3247185418
316	0.3245548085
317	0.3244617673
318	0.3243674908
319	0.3242466674
320	0.3240637373
321	0.3239714058
322	0.3238371124
323	0.3237137386
324	0.3235520454
325	0.3233629062
326	0.3232407194
327	0.323040229
328	0.3229201016
329	0.322766575
330	0.3225858611
331	0.3223524934
332	0.3222463348
333	0.3220623545
334	0.3218466887
335	0.3216688442
336	0.3214733801
337	0.3212613384
338	0.3211818424
339	0.3208243627
340	0.3206910444
341	0.3206095678
342	0.3204058305
343	0.3202803006
344	0.3200425909
345	0.3198867533
346	0.3197389718
347	0.3195552883
348	0.319326228
349	0.3192384913
350	0.3191302598
351	0.3190657404
352	0.3189664277
353	0.3188615526
354	0.3186924969
355	0.3185020361
356	0.3183285906
357	0.3182387386
358	0.3181228876
359	0.3179437034
360	0.3178044392
361	0.3176533693
362	0.3175475936
363	0.3172448752
364	0.3170509577
365	0.3169117331
366	0.3167964397
367	0.3166937918
368	0.3166081576
369	0.3164293836
370	0.3163245865
371	0.3161468939
372	0.3160298904
373	0.3159047457
374	0.3157386315
375	0.315616397
376	0.3154511665
377	0.3153293181
378	0.3152290502
379	0.3150095882
380	0.3148436498
381	0.3147156499
382	0.3145720626
383	0.314470043
384	0.3143158521
385	0.3141969779
386	0.3140358584
387	0.3138813904
388	0.31372026
389	0.3135893111
390	0.3132263991
391	0.313095335
392	0.3129345155
393	0.3127727847
394	0.3126213883
395	0.3124797409
396	0.3123526869
397	0.312196883
398	0.3120064944
399	0.3118919805
400	0.3117920731
401	0.3116840419
402	0.3115887897
403	0.3114815535
404	0.3113669328
405	0.3111238112
406	0.310972161
407	0.31081303
408	0.3107127759
409	0.3105875755
410	0.3104508517
411	0.3103450642
412	0.3102242388
413	0.3100420986
414	0.3099206353
415	0.3097302376
416	0.3096339054
417	0.3095432579
418	0.3094050554
419	0.3092358792
420	0.3090918503
421	0.3088778128
422	0.3086861584
423	0.3085565197
424	0.30836675
425	0.3082513955
426	0.3080721428
427	0.3079829191
428	0.307860702
429	0.3077716997
430	0.3076795423
431	0.3075072362
432	0.3073230308
433	0.307217023
434	0.307109654
435	0.3069773095
436	0.3068475344
437	0.3065442825
438	0.3063464532
439	0.3062117991
440	0.3060896499
441	0.3059565495
442	0.3058472398
443	0.3057338967
444	0.3056285463
445	0.3055383174
446	0.3054129437
447	0.3052793732
448	0.3051207462
449	0.3050126668
450	0.3049037743
451	0.3047931476
452	0.3046131898
453	0.3045028194
454	0.3043548688
455	0.3041830028
456	0.3040076222
457	0.3039224767
458	0.303843487
459	0.3036483167
460	0.3035115797
461	0.3033023651
462	0.3031514293
463	0.3029616189
464	0.3028177736
465	0.3027236641
466	0.3025912264
467	0.3024476924
468	0.3023266702
469	0.302217786
470	0.302123446
471	0.3019973106
472	0.3018881162
473	0.3017654277
474	0.3015574929
475	0.3014669424
476	0.3013472991
477	0.301242143
478	0.3010752608
479	0.3009563605
480	0.3008589556
481	0.3007352148
482	0.3006210755
483	0.3005085722
484	0.3003737096
485	0.3002481599
486	0.3001591266
487	0.3000601106
488	0.2999513442
489	0.299845028
490	0.2997562779
491	0.2996412716
492	0.2995692953
493	0.2994857563
494	0.2993628343
495	0.2992953228
496	0.299137664
497	0.299016467
498	0.2989232985
499	0.2987437606
500	0.2985971821
501	0.2984302771
502	0.2983401074
503	0.2982362123
504	0.2981743383
505	0.2980070049
506	0.2978999532
507	0.2977908104
508	0.2976836382
509	0.2976075583
510	0.2975125488
511	0.2974038879
512	0.2972014703
513	0.2971058968
514	0.2969990561
515	0.2968650452
516	0.2966966547
517	0.2965761601
518	0.2963870446
519	0.2963330666
520	0.2962088911
521	0.2961157849
522	0.2959873418
523	0.2958389484
524	0.2957213692
525	0.295617676
526	0.2955477816
527	0.2954122409
528	0.2952724456
529	0.2952092922
530	0.2950756962
531	0.2949738994
532	0.2948002035
533	0.2946156078
534	0.2945080007
535	0.2943168084
536	0.2941506861
537	0.2940587664
538	0.2939223164
539	0.2938166927
540	0.2937092394
541	0.2935924666
542	0.2934271819
543	0.2933340419
544	0.293257012
545	0.2930424957
546	0.2928613504
547	0.2927573875
548	0.2926369879
549	0.2925151715
550	0.2923609149
551	0.2921634277
552	0.2920751648
553	0.2919414618
554	0.2917705687
555	0.2916296914
556	0.2914515139
557	0.2913722127
558	0.2912100677
559	0.2911133539
560	0.2910423925
561	0.2909752694
562	0.2908855182
563	0.2907722924
564	0.2906450499
565	0.2905542954
566	0.2904426928
567	0.2903149274
568	0.2902212829
569	0.2899164591
570	0.2898527078
571	0.2896565547
572	0.289498478
573	0.2893775493
574	0.2892789641
575	0.2892004837
576	0.289111634
577	0.2889958579
578	0.288897955
579	0.2888068851
580	0.2886817745
581	0.288545603
582	0.2883956117
583	0.2882427383
584	0.2881664001
585	0.2880221737
586	0.2878968437
587	0.2877769967
588	0.287706703
589	0.2876222228
590	0.2874570891
591	0.2873471306
592	0.2872749207
593	0.2871810656
594	0.2870364653
595	0.2869466859
596	0.2868732301
597	0.286797571
598	0.2866437256
599	0.2865709168
600	0.2864611814
601	0.2862956764
602	0.2862166524
603	0.2861443403
604	0.2860812519
605	0.2859884093
606	0.285812772
607	0.2856588952
608	0.2855761562
609	0.2854663024
610	0.28519076
611	0.2850621222
612	0.284947537
613	0.2848145202
614	0.2847114738
615	0.2846068822
616	0.2845282626
617	0.2844614749
618	0.284325126
619	0.284244913
620	0.2841137646
621	0.2840597597
622	0.2839404213
623	0.2838257027
624	0.2837605363
625	0.2836394789
626	0.2835062197
627	0.2834127369
628	0.2832869519
629	0.2831851471
630	0.2830940679
631	0.2829349003
632	0.2828190413
633	0.2827049429
634	0.2825572799
635	0.2824608922
636	0.2823912682
637	0.2823027455
638	0.282195858
639	0.2820945821
640	0.2819903852
641	0.2819203131
642	0.2817522095
643	0.2816067112
644	0.2814339799
645	0.2813621758
646	0.2812879168
647	0.2812328041
648	0.2811485042
649	0.2810376669
650	0.2809841685
651	0.280918907
652	0.2808216485
653	0.2807434544
654	0.2806487495
655	0.2805675701
656	0.2804910178
657	0.2804163444
658	0.2803318004
659	0.280219403
660	0.2801353624
661	0.2800336705
662	0.2798880434
663	0.2797584429
664	0.2795943869
665	0.2794220471
666	0.2793001897
667	0.2792142993
668	0.2791218927
669	0.2790593048
670	0.2789233836
671	0.2787940935
672	0.2787515597
673	0.2786612959
674	0.2785340134
675	0.2784353486
676	0.278311632
677	0.278229829
678	0.2781538885
679	0.277972849
680	0.2778591702
681	0.2777053037
682	0.2775891458
683	0.277447763
684	0.2773080744
685	0.2771636257
686	0.277047392
687	0.2769149285
688	0.2767392025
689	0.2765985184
690	0.276508161
691	0.2764103851
692	0.2762578473
693	0.2761431367
694	0.2760860826
695	0.2759657189
696	0.275866749
697	0.275736657
698	0.2756474044
699	0.2755456138
700	0.2754143822
701	0.2752909137
702	0.2751773008
703	0.2749931486
704	0.274942369
705	0.2748651019
706	0.2747460464
707	0.2746360388
708	0.2745607141
709	0.2744863202
710	0.2744212637
711	0.2743609371
712	0.2742607493
713	0.2740674807
714	0.2739820261
715	0.2739336054
716	0.2738415777
717	0.2737388431
718	0.2736475838
719	0.273519621
720	0.2734355004
721	0.2732844754
722	0.2732357199
723	0.2731496689
724	0.2730458127
725	0.2729412911
726	0.272875363
727	0.2727248767
728	0.2726093452
729	0.2725443196
730	0.2724079749
731	0.2723316686
732	0.2722492804
733	0.2721359397
734	0.2720598944
735	0.271944125
736	0.2718702645
737	0.2717661655
738	0.2716424738
739	0.2715610454
740	0.2714728553
741	0.2714093689
742	0.2713079904
743	0.2712116204
744	0.2710939767
745	0.2709852198
746	0.2708786294
747	0.2707827704
748	0.2706863541
749	0.2705441147
750	0.2703945592
751	0.2702719048
752	0.2701696145
753	0.2700656028
754	0.2699411673
755	0.2698058598
756	0.2696904454
757	0.2696037093
758	0.269518915
759	0.2693832094
760	0.2693187541
761	0.2692120839
762	0.2690987802
763	0.2690210852
764	0.2689658082
765	0.268918706
766	0.2687994686
767	0.2687599872
768	0.2685069062
769	0.2683943017
770	0.2683063866
771	0.2682462098
772	0.2681602047
773	0.2680379241
774	0.2679417187
775	0.2678138417
776	0.2677162964
777	0.2676437295
778	0.2675242983
779	0.2674131508
780	0.2673743753
781	0.2672743854
782	0.2671869737
783	0.2670936964
784	0.2670241728
785	0.2669104487
786	0.2667937304
787	0.2667328426
788	0.2666957622
789	0.2666165636
790	0.2665326792
791	0.266442075
792	0.2663828154
793	0.2662644494
794	0.2661618648
795	0.2660493206
796	0.2659639659
797	0.2659034744
798	0.2658041479
799	0.2657029258
800	0.2655886333
801	0.2654946845
802	0.2654276203
803	0.2653121462
804	0.2651889871
805	0.2651390178
806	0.2649817086
807	0.2649272251
808	0.2648699057
809	0.2648198418
810	0.2647524352
811	0.2646722342
812	0.2645600124
813	0.2644881478
814	0.2643459213
815	0.2642702787
816	0.2641210193
817	0.264038537
818	0.2639845416
819	0.2639198449
820	0.2638417289
821	0.2637693389
822	0.2636992706
823	0.2636274449
824	0.263536641
825	0.2634487902
826	0.2633368218
827	0.2632508188
828	0.2631521232
829	0.2630910673
830	0.2630165803
831	0.262943626
832	0.2628408358
833	0.2628012874
834	0.2627058659
835	0.2626103713
836	0.2625164698
837	0.2623656652
